"","a_suivi","performer_travail_projet","motivation_certificat","trouver_emploi","nbr_certificat","satisfait_gestion_temps","objectifs_atteints","satisfaction","vacances_etude","temps_alloue_cours","mooc_inclu_etude","edt_chargee","plateformes_utilisees","videos_cours","transcription","diapositives_cours","forum_discussion","examens_exercices","accompagnement_pedagogique","aides_financiere","prix","outils_exercice","sciences_donnees","informatique","sciences_physiques","business","arts","langues","sciences_sociales","sexe","pays","age","est_etudiant","niveau_actuel","formation","background"
"18","Oui, je l'ai suivi et j'ai réussi","Neutre","Tout à fait d'acord","Neutre","1","Désaccord","D'accord",6,"Vos études","1","Oui","Non","Edx","Très bien","Bien","Bien","Moyen","Moyen","Moyen","Non",NA,"Oui","Interessant","Interessant","Inintéressant","Pas très interessant","Inintéressant","Interessant","Pas très interessant","Homme","Autre",21,"Oui","BAC +4","FIG","Prépa"
"19","Oui, je l'ai suivi et j'ai réussi","D'accord","Désaccord","Désaccord","1","Neutre","D'accord",8,"Les vacances","0.01","Oui","Non","OpenClassrooms","Bien","Bien","Très bien","Très bien","Très bien","Très bien","Non",NA,"Oui","Interessant","Interessant","Interessant","Pas très interessant","Inintéressant","Inintéressant","Inintéressant","Homme","France",22,"Oui","BAC +5","FIG","Prépa"
"20","Oui, je l'ai suivi et j'ai réussi","D'accord","Tout à fait en désaccord","Tout à fait en désaccord","1","D'accord","Neutre",7,"Vos études","2","Oui","Non","OpenClassrooms","Très bien","Moyen","Bien","Bien","Bien","Bien","Oui","10","Oui","Interessant","Interessant","Pas très interessant","Interessant","Interessant","Pas très interessant","Interessant","Femme","France",22,"Oui","BAC +5","FIG","Prépa"
"21","Oui, je l'ai suivi et j'ai réussi","Tout à fait d'acord","D'accord","D'accord","2","Neutre","Neutre",6,"Les deux","2","Non","Non","OpenClassrooms, EDX, fun","Moyen","Très bien","Moyen","Bien","Moyen","Mauvais","Non","1","Non","Interessant","Interessant","Pas très interessant","Interessant","Interessant","Interessant","Interessant","Homme","France",24,"Oui","BAC +4","FIG","Prépa"
"22","Oui, je l'ai suivi et j'ai réussi","Tout à fait d'acord","D'accord","Neutre","3","Neutre","D'accord",7,"Les deux","2","Non","Oui","Edx","Bien","Bien","Bien","Bien","Bien","Bien","Oui","5","Oui","Interessant","Pas très interessant","Inintéressant","Interessant","Inintéressant","Inintéressant","Interessant","Femme","Tunisie",24,"Oui","BAC +5","FIG","Prépa"
"23","Oui, je l'ai suivi et j'ai réussi","Neutre","Neutre","Neutre","0","Neutre","Neutre",7,"Les vacances","0","Oui","Oui","Coursera","Bien","Bien","Bien","Bien","Bien","Bien","Oui","0","Oui","Interessant","Pas très interessant","Inintéressant","Inintéressant","Inintéressant","Inintéressant","Inintéressant","Homme","Maroc",20,"Oui","BAC +3","FIG","Prépa"
"24","Oui, je l'ai suivi et j'ai réussi","D'accord","Tout à fait d'acord","Neutre","3","D'accord","Neutre",7,"Vos études","2","Non","Oui","Edx, OpenClassrooms, FUN","Bien","Moyen","Moyen","Mauvais","Bien","Bien","Non","25","Oui","Interessant","Interessant","Inintéressant","Interessant","Pas très interessant","Inintéressant","Inintéressant","Femme","Maroc",21,"Oui","BAC +4","FIG","Prépa"
"25","Oui, je l'ai suivi et j'ai réussi","Tout à fait d'acord","D'accord","D'accord","2","Tout à fait en désaccord","Neutre",9,"Les deux","0.5","Oui","Non","Coursera, Edx","Très bien","Très bien","Très bien","Très bien","Bien","Bien","Non","40","Oui","Interessant","Interessant","Pas très interessant","Interessant","Interessant","Interessant","Interessant","Homme","Maroc",25,"Oui","BAC +5","Master spécialisé","Autre école"
"26","Oui, je l'ai suivi et j'ai réussi","D'accord","Tout à fait en désaccord","Tout à fait en désaccord","0","Désaccord","Désaccord",8,"Vos études","3","Oui","Oui","FUN","Bien","Très bien","Bien","Moyen","Moyen","Moyen","Non",NA,"Oui","Interessant","Interessant","Interessant","Inintéressant","Inintéressant","Inintéressant","Inintéressant","Femme","France",23,"Oui","BAC +4","FIG","Université"
"27","Oui, je l'ai suivi et j'ai réussi","Tout à fait d'acord","Neutre","Désaccord","1","Neutre","Neutre",5,"Les vacances","4","Oui","Oui","OpenClassrooms","Bien","Bien","Bien","Moyen","Moyen","Moyen","Non","2","Oui","Interessant","Interessant","Interessant","Interessant","Pas très interessant","Pas très interessant","Inintéressant","Femme","France",22,"Oui","BAC +5","FIG","Prépa"
"28","Oui, je l'ai suivi et j'ai réussi","Tout à fait d'acord","Tout à fait d'acord","Neutre","1","Neutre","D'accord",7,"Les deux","6","Oui","Oui","Coursera, Udacity, OpenClassrooms, FUN","Très bien","Bien","Moyen","Bien","Bien","Mauvais","Oui","100","Oui","Interessant","Interessant","Pas très interessant","Inintéressant","Inintéressant","Inintéressant","Inintéressant","Homme","France",24,"Oui","BAC +5","FIG","Université"
"29","Oui, je l'ai suivi et j'ai réussi","Tout à fait d'acord","Tout à fait d'acord","D'accord","0","D'accord","Désaccord",4,"Vos études","6","Non","Oui","OpenClassrooms","Moyen","Mauvais","Bien","Bien","Bien","Très bien","Non","0","Non","Pas très interessant","Interessant","Pas très interessant","Pas très interessant","Pas très interessant","Pas très interessant","Pas très interessant","Homme","Côte d'ivoire",25,"Oui","BAC +6 ou plus","Master spécialisé","Prépa"
"30","Oui, je l'ai suivi et j'ai réussi","D'accord","Tout à fait en désaccord","Tout à fait en désaccord","2","Tout à fait d'accord","Tout à fait d'accord",8,"Les deux","6","Oui","Oui","Edx, OpenClassrooms, FUN","Bien","Très bien","Bien","Bien","Très bien","Bien","Non","10","Oui","Interessant","Interessant","Inintéressant","Inintéressant","Inintéressant","Interessant","Inintéressant","Homme","France",21,"Oui","BAC +4","FIG","Prépa"
"31","Oui, je l'ai suivi et j'ai réussi","Tout à fait d'acord","Neutre","Désaccord","0","D'accord","D'accord",8,"Vos études","3","Oui","Non","FUN","Très bien","Bien","Bien","Moyen","Bien","Bien","Non","20","Oui","Interessant","Interessant","Interessant","Interessant","Interessant","Pas très interessant","Pas très interessant","Homme","France",20,"Oui","BAC +3","FIG","Prépa"
"32","Oui, je l'ai suivi et j'ai réussi","Tout à fait d'acord","Neutre","Désaccord","0","Neutre","Désaccord",4,"Vos études","3","Oui","Non","FUN","Mauvais","Moyen","Moyen","Moyen","Bien","Moyen","Non","20","Oui","Interessant","Interessant","Inintéressant","Interessant","Interessant","Interessant","Interessant","Femme","Maroc",23,"Oui","BAC +5","FIG","Prépa"
"33","Oui, je l'ai suivi et j'ai réussi","D'accord","Neutre","Désaccord","1","D'accord","D'accord",7,"Vos études","20","Oui","Non","OpenClassrooms","Bien","Bien","Bien","Bien","Bien","Moyen","Non","70","Oui","Interessant","Interessant","Interessant","Interessant","Interessant","Interessant","Interessant","Homme","France",23,"Oui","BAC +5","FIG","Prépa"
"34","Oui, je l'ai suivi et j'ai réussi","Tout à fait d'acord","Tout à fait d'acord","D'accord","1","D'accord","D'accord",7,"Les deux","2","Oui","Non","Coursera, FUN","Bien","Bien","Bien","Moyen","Bien","Bien","Oui","0","Oui","Interessant","Interessant","Interessant","Interessant","Inintéressant","Inintéressant","Inintéressant","Homme","Maroc",23,"Oui","BAC +5","FIG","Université"
"35","Oui, je l'ai suivi et j'ai réussi","D'accord","Neutre","Tout à fait en désaccord","0","Désaccord","D'accord",6,"Vos études","6","Oui","Oui","OpenClassrooms, FUN","Bien","Bien","Bien","Bien","Moyen","Bien","Non","15","Oui","Inintéressant","Interessant","Interessant","Interessant","Pas très interessant","Inintéressant","Interessant","Homme","France",21,"Oui","BAC +3","FIG","Université"
"36","Oui, je l'ai suivi et j'ai réussi","D'accord","Désaccord","Tout à fait en désaccord","0","Désaccord","D'accord",8,"Vos études","1","Oui","Oui","Edx, OpenClassrooms, FUN","Bien","Bien","Bien","Moyen","Très bien","Mauvais","Non","0","Oui","Pas très interessant","Interessant","Interessant","Interessant","Interessant","Pas très interessant","Pas très interessant","Homme","France",21,"Oui","BAC +3","FIG","Prépa"
"37","Oui, je l'ai suivi et j'ai réussi","D'accord","Désaccord","Neutre","2","Désaccord","Désaccord",5,"Les deux","4","Oui","Non","Coursera, Udemy, OpenClassrooms, FUN","Moyen","Mauvais","Mauvais","Moyen","Mauvais","Moyen","Non","50","Non","Interessant","Interessant","Pas très interessant","Inintéressant","Pas très interessant","Interessant","Pas très interessant","Homme","Maroc",22,"Oui","BAC +5","FIG","Prépa"
"38","Oui, je l'ai suivi et j'ai réussi","D'accord","D'accord","D'accord","100","Tout à fait d'accord","Tout à fait d'accord",8,"Les deux","10","Non","Oui","Coursera, Edx, Datacamp, Udacity","Très bien","Très bien","Très bien","Très bien","Très bien","Très bien","Oui","10","Oui","Interessant","Interessant","Pas très interessant","Pas très interessant","Pas très interessant","Interessant","Pas très interessant","Homme","Maroc",23,"Oui","BAC +5","FIG","Prépa"
"39","Oui, je l'ai suivi et j'ai réussi","Neutre","Tout à fait d'acord","Désaccord","1","Neutre","D'accord",5,"Les deux","1","Oui","Non","OpenClassrooms","Très bien","Bien","Moyen","Moyen","Bien","Moyen","Non","5","Oui","Pas très interessant","Inintéressant","Interessant","Pas très interessant","Interessant","Pas très interessant","Pas très interessant","Homme","France",23,"Oui","BAC +4","FIG","Prépa"
"40","Oui, je l'ai suivi et j'ai réussi","Tout à fait d'acord","Tout à fait d'acord","D'accord","3","D'accord","D'accord",9,"Les deux","15","Non","Oui","Coursera, Edx, Udacity, OpenClassrooms","Très bien","Moyen","Bien","Bien","Très bien","Bien","Oui","10","Oui","Interessant","Interessant","Interessant","Interessant","Pas très interessant","Interessant","Pas très interessant","Homme","Maroc",23,"Oui","BAC +5","FIG","Prépa"
"41","Oui, je l'ai suivi et j'ai réussi","Tout à fait d'acord","Tout à fait d'acord","D'accord","1","Tout à fait d'accord","Tout à fait d'accord",10,"Les deux","5","Non","Oui","Coursera, Udacity, FUN","Très bien","Très bien","Très bien","Bien","Très bien","Bien","Oui","70","Oui","Pas très interessant","Pas très interessant","Interessant","Interessant","Interessant","Interessant","Interessant","Femme","Autre",24,"Oui","BAC +5","FIG","Prépa"
"42","Oui, je l'ai suivi et j'ai réussi","Tout à fait d'acord","Neutre","D'accord","2","Tout à fait d'accord","Tout à fait d'accord",9,"Les deux","3","Non","Oui","Coursera, OpenClassrooms","Très bien","Bien","Bien","Très bien","Très bien","Très bien","Non",NA,"Non","Interessant","Interessant","Pas très interessant","Pas très interessant","Interessant","Interessant","Interessant","Homme","France",22,"Oui","BAC +4","Ecole d'ingénieur","Prépa"
"43","Oui, je l'ai suivi et j'ai réussi","Tout à fait d'acord","Neutre","Neutre","2","Tout à fait d'accord","Tout à fait d'accord",8,"Les deux","7","Oui","Non","Edx, OpenClassrooms, FUN","Bien","Très bien","Bien","Bien","Très bien","Très bien","Non","10","Oui","Interessant","Interessant","Inintéressant","Inintéressant","Inintéressant","Interessant","Inintéressant","Homme","France",21,"Oui","BAC +3","FIG","Prépa"
"44","Oui, je l'ai suivi et j'ai réussi","D'accord","Neutre","Désaccord","0","D'accord","D'accord",8,"Les vacances","5","Oui","Oui","Edx, Udacity","Bien","Très bien","Moyen","Mauvais","Bien","Moyen","Non","10","Oui","Interessant","Interessant","Interessant","Pas très interessant","Interessant","Interessant","Interessant","Homme","Columbia",21,"Oui",NA,"Master of science","Université"
"45","Oui, je l'ai suivi et j'ai réussi","Tout à fait d'acord","Tout à fait d'acord","Tout à fait en désaccord","0","Tout à fait d'accord","Désaccord",4,"Les deux","2","Oui","Oui","FUN, SecNum academy ","Très mauvais","Très mauvais","Très mauvais","Très mauvais","Très mauvais","Très mauvais","Non","10","Non","Interessant","Interessant","Pas très interessant","Inintéressant","Interessant","Pas très interessant","Inintéressant","Homme","France",20,"Oui","BAC +3","FIG","Prépa"
"46","Oui, je l'ai suivi et j'ai réussi","Neutre","D'accord","Neutre","0","Neutre","Neutre",4,"Vos études","4","Oui","Non","FUN","Bien","Bien","Bien","Moyen","Moyen","Moyen","Non","0","Oui","Pas très interessant","Pas très interessant","Interessant","Interessant","Interessant","Interessant","Interessant","Femme","France",23,"Oui","BAC +4","Master of science","Prépa"
"47","Oui, je l'ai suivi et j'ai réussi","Neutre","D'accord","Désaccord","1","D'accord","D'accord",7,"Vos études","2","Oui","Non","OpenClassrooms, FUN","Bien","Bien","Bien","Moyen","Bien","Mauvais","Non","0","Oui","Pas très interessant","Interessant","Inintéressant","Inintéressant","Inintéressant","Inintéressant","Pas très interessant","Homme","France",23,"Oui","BAC +5","FIG","Prépa"
"48","Oui, je l'ai suivi et j'ai réussi","D'accord","Désaccord","Désaccord","0","D'accord","D'accord",6,"Les deux","1","Oui","Oui","OpenClassrooms","Bien","Bien","Moyen","Bien","Bien","Moyen","Non","10","Oui","Interessant","Interessant","Inintéressant","Interessant","Pas très interessant","Interessant","Pas très interessant","Femme","Burkinafasso",23,"Oui","BAC +4","FIG","Prépa"
"49","Oui, je l'ai suivi et j'ai réussi","Tout à fait d'acord","Tout à fait d'acord","D'accord","10","D'accord","Neutre",8,"Les deux","2","Oui","Oui","OpenClassrooms","Moyen","Moyen","Bien","Moyen","Très bien","Mauvais","Non","100","Oui","Interessant","Interessant","Interessant","Pas très interessant","Pas très interessant","Interessant","Pas très interessant","Homme","France",23,"Oui","BAC +6 ou plus","école d'ingénieur","Prépa"
"50","Oui, je l'ai suivi et j'ai réussi","Tout à fait d'acord","Tout à fait en désaccord","Neutre","1","D'accord","D'accord",8,"Les deux","1.5","Non","Non","FUN","Très bien","Bien","Bien","Bien","Très bien","Très bien","Non","10","Oui","Interessant","Interessant","Interessant","Interessant","Interessant","Interessant","Interessant","Femme","France",20,"Oui","BAC +4","Master of science","Autre école"
"51","Oui, je l'ai suivi et j'ai réussi","Neutre","Tout à fait d'acord","Tout à fait en désaccord","1","Désaccord","D'accord",7,"Vos études",NA,"Oui","Oui","OpenClassrooms, FUN","Bien","Bien","Bien","Mauvais","Moyen","Très mauvais","Non",NA,"Oui","Interessant","Pas très interessant","Interessant","Interessant","Inintéressant","Inintéressant","Inintéressant","Femme","Maroc",22,"Oui","BAC +5","FIG","Prépa"
